Unknown DIVA サビメドレー,天音かなた,観賞用,<div class="iframe-wrapper"><iframe src="https://www.youtube.com/embed/Phc-aNCkEaA?si=FiSNRBmnXVYbFY6D" title="YouTube video player" frameborder="0" allow="accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share" referrerpolicy="strict-origin-when-cross-origin" allowfullscreen></iframe></div>,#ホロライブ #メドレー
未来カンパネラ,AZKi,観賞用,<div class="iframe-wrapper"><iframe src="https://www.youtube.com/embed/dGXMUv3k4fc?si=B2MSRSYmtTVvXhlZ" title="YouTube video player" frameborder="0" allow="accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share" referrerpolicy="strict-origin-when-cross-origin" allowfullscreen></iframe></div>,#ホロライブ
夢嵐,風真いろは,観賞用,<div class="iframe-wrapper"><iframe src="https://www.youtube.com/embed/DdfKc_4WaKQ?si=ZJrxqTYP_5wL3LvJ" title="YouTube video player" frameborder="0" allow="accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share" referrerpolicy="strict-origin-when-cross-origin" allowfullscreen></iframe></div>,#ホロライブ #holo*27
Fake.Fake.Fake,AZKi,観賞用,<div class="iframe-wrapper"><iframe src="https://www.youtube.com/embed/_MwjBKt1lgg?si=Ta7bxcSEx6tebVLz" title="YouTube video player" frameborder="0" allow="accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share" referrerpolicy="strict-origin-when-cross-origin" allowfullscreen></iframe></div>,#ホロライブ
Baby Don't Stop,雪花ラミィ×鷹嶺ルイ,観賞用,<div class="iframe-wrapper"><iframe src="https://www.youtube.com/embed/TwAb0Vy5Wc8?si=cRCHbpVB4DgjxGad" title="YouTube video player" frameborder="0" allow="accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share" referrerpolicy="strict-origin-when-cross-origin" allowfullscreen></iframe></div>,#ホロライブ #holo*27
シンデレラ・マジック,紫咲シオン,観賞用,<div class="iframe-wrapper"><iframe src="https://www.youtube.com/embed/V7VgljAM208?si=xWbZr-QoQYRX92Ay" title="YouTube video player" frameborder="0" allow="accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share" referrerpolicy="strict-origin-when-cross-origin" allowfullscreen></iframe></div>,#ホロライブ
ハードモード,風真いろは,観賞用,<div class="iframe-wrapper"><iframe src="https://www.youtube.com/embed/7OtzD5bAuVo?si=sRjONEAmQ-vTWO0a" title="YouTube video player" frameborder="0" allow="accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share" referrerpolicy="strict-origin-when-cross-origin" allowfullscreen></iframe></div>,#ホロライブ
モードク,沙花叉クロヱ,鑑賞用,<div class="iframe-wrapper"><iframe src="https://www.youtube.com/embed/0qm7O2PlSBQ?si=CqL6R7qQxEZ5FEjR" title="YouTube video player" frameborder="0" allow="accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share" referrerpolicy="strict-origin-when-cross-origin" allowfullscreen></iframe></div>,#ホロライブ
エイムに愛されしガール,湊あくあ,鑑賞用,<div class="iframe-wrapper"><iframe src="https://www.youtube.com/embed/zpZPfWKR7c4?si=WBZehMzknL-r5uI-" title="YouTube video player" frameborder="0" allow="accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share" referrerpolicy="strict-origin-when-cross-origin" allowfullscreen></iframe></div>,#ホロライブ
STARDUSTER,ジミーサムP,観賞用,<div class="iframe-wrapper"><iframe src="https://www.youtube.com/embed/4pOQZMjnZ-A?si=nnplxh3oZ4dDl1qW" title="YouTube video player" frameborder="0" allow="accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share" referrerpolicy="strict-origin-when-cross-origin" allowfullscreen></iframe></div>,#ボカロ
